Instruction	Instruction Code	Operation Code	Value Given (8-bit)
ADDA	    00	000	VVVVVVVV    #000 - #0ff
SUBA	    00	001	VVVVVVVV    #100 - #1ff
ANDA	    00	010	VVVVVVVV    #200 - #2ff
ORA	        00	011	VVVVVVVV    #300 - #3ff
MOVA	    00	100	VVVVVVVV    #400 - #4ff
SHFTLA	    00	101	VVVVVVVV    #500 - #5ff
SHFTRA	    00	110	VVVVVVVV    #600 - #6ff

ADDR (D)	01	000	XXXXAAAA    #800 - #8ff
SUBR (D)	01	001	XXXXAAAA    #900 - #9ff
ANDR (D)	01	010	XXXXAAAA    #A00 - #Aff 
ORR (D)	    01	011	XXXXAAAA    #B00 - #Bff 
SHFTLR (D)	01	101	XXXXAAAA    #D00 - #Dff 
SHFTRR (D)	01	110	XXXXAAAA    #E00 - #Eff
LOAD (D)	01	100	XXXXAAAA    #C00 - #Cff
STORE (D)	01	111	XXXXAAAA    #F00 - #Fff

MOVEFSR	    10	111	AAAAAAAA    #1700 - #17ff
LOADFSR	    10	100	00XXXXXX    #1400 - #143f
STOREFSR	10	100	11XXXXXX    #14c0 - #14ff
INCRFSR	    10	100	01XXXXXX    #1440 - #147f
DECRFSR	    10	100	10XXXXXX    #1480 - #14bf
ADDFSR	    10	000	XXXXXXXX    #1000 - #10ff
SUBFSR	    10	001	XXXXXXXX    #1100 - #11ff
ANDFSR	    10	010	XXXXXXXX    #1200 - #12ff
ORFSR	    10	011	XXXXXXXX    #1300 - #13ff
SHFTLFSR	10	101	XXXXXXXX    #1500 - #15ff
SHFTRFSR	10	110	XXXXXXXX    #1600 - #16ff

BRA (PC)	11	000	00XXXXXX    #1800 - #183f
BIZ (PC)	11	010	01XXXXXX    #1a40 - #1a7f
BIN (PC)	11	001	10XXXXXX    #1980 - #19bf
SIZ	        11	011	11XXXXXX    #1bc0 - #1bff
CALL (PC)	11	100	AAAAAAAA    #1c00 - #1cff
RETURN	    11	101	XXXXXXXX    #1d00 - #1dff
