# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: C:\Users\LabComputer1\Desktop\ram-pin.csv
# Generated on: Wed Aug 01 14:36:00 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
clk,Input,PIN_Y24,5,B5_N2,PIN_Y24,,,,,
data[7],Input,PIN_AB26,5,B5_N1,PIN_AB26,,,,,
data[6],Input,PIN_AD26,5,B5_N2,PIN_AD26,,,,,
data[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,,,,,
data[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,,,,,
data[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,,,,,
data[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,,,,,
data[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,,,,,
data[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,,,,,
out[7],Output,PIN_H19,7,B7_N2,PIN_H19,,,,,
out[6],Output,PIN_J19,7,B7_N2,PIN_J19,,,,,
out[5],Output,PIN_E18,7,B7_N1,PIN_E18,,,,,
out[4],Output,PIN_F18,7,B7_N1,PIN_F18,,,,,
out[3],Output,PIN_F21,7,B7_N0,PIN_F21,,,,,
out[2],Output,PIN_E19,7,B7_N0,PIN_E19,,,,,
out[1],Output,PIN_F19,7,B7_N0,PIN_F19,,,,,
out[0],Output,PIN_G19,7,B7_N2,PIN_G19,,,,,
rw,Input,PIN_AA22,5,B5_N2,PIN_AA22,,,,,
s0,Input,PIN_AA24,5,B5_N2,PIN_AA23,,,,,
s1,Input,PIN_AA23,5,B5_N2,PIN_AA24,,,,,
