# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: C:\Users\LabComputer1\Desktop\alu-pin.csv
# Generated on: Tue Jul 31 15:20:06 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
A[7],Input,PIN_AD26,5,B5_N2,PIN_AD26,,,,,
A[6],Input,PIN_M23,6,B6_N2,PIN_M23,,,,,
A[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,,,,,
A[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,,,,,
A[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,,,,,
A[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,,,,,
A[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,,,,,
A[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,,,,,
ALU_Out[7],Output,PIN_H19,7,B7_N2,PIN_H19,,,,,
ALU_Out[6],Output,PIN_J19,7,B7_N2,PIN_J19,,,,,
ALU_Out[5],Output,PIN_E18,7,B7_N1,PIN_E18,,,,,
ALU_Out[4],Output,PIN_F18,7,B7_N1,PIN_F18,,,,,
ALU_Out[3],Output,PIN_F21,7,B7_N0,PIN_F21,,,,,
ALU_Out[2],Output,PIN_E19,7,B7_N0,PIN_E19,,,,,
ALU_Out[1],Output,PIN_F19,7,B7_N0,PIN_F19,,,,,
ALU_Out[0],Output,PIN_G19,7,B7_N2,PIN_G19,,,,,
ALU_Sel[2],Input,PIN_Y24,5,B5_N2,PIN_Y24,,,,,
ALU_Sel[1],Input,PIN_AA22,5,B5_N2,PIN_AA22,,,,,
ALU_Sel[0],Input,PIN_AA23,5,B5_N2,PIN_AA23,,,,,
B[7],Input,PIN_AA24,5,B5_N2,PIN_AA24,,,,,
B[6],Input,PIN_M21,6,B6_N1,PIN_M21,,,,,
B[5],Input,PIN_AB23,5,B5_N2,PIN_AB23,,,,,
B[4],Input,PIN_AB24,5,B5_N2,PIN_AB24,,,,,
B[3],Input,PIN_AC24,5,B5_N2,PIN_AC24,,,,,
B[2],Input,PIN_AB25,5,B5_N1,PIN_AB25,,,,,
B[1],Input,PIN_AC25,5,B5_N2,PIN_AC25,,,,,
B[0],Input,PIN_AB26,5,B5_N1,PIN_AB26,,,,,
carry,Output,PIN_E21,7,B7_N0,PIN_E21,,,,,
neg,Output,PIN_E22,7,B7_N0,PIN_E22,,,,,
over,Output,PIN_E25,7,B7_N1,PIN_AA26,,,,,
zero,Output,PIN_E24,7,B7_N1,PIN_E25,,,,,
